"GSM","SampleTitle","Score","GSE","Platform","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied","ScoreZ"
"GSM3964076","M4-16, SKNO1.1uM.GSK862.d4.n1.n1",3.7474459912338,"GSE134716","GPL570",NA,"SKNO1",NA,FALSE,NA,"none",FALSE,-0.325613085434199
"GSM3964077","M4-32, SKNO1.1uM.GSK862.d4.n2.n2",3.8583755194698,"GSE134716","GPL570",NA,"SKNO1",NA,FALSE,NA,"none",FALSE,-0.215916187212073
"GSM3964078","M4-11, NOMO1.0uM.DMSO.d4.n1.n1",4.9020500912038,"GSE134716","GPL570",NA,"NOMO1",NA,FALSE,NA,"none",FALSE,0.81616125053701
"GSM3964079","M4-27, NOMO1.0uM.DMSO.d4.n2.n2",4.9927693420448,"GSE134716","GPL570",NA,"NOMO1",NA,FALSE,NA,"none",FALSE,0.905872444522447
"GSM3964080","M4-12, NOMO1.1uM.GSK862.d4.n1.n1",4.8908418502738,"GSE134716","GPL570",NA,"NOMO1",NA,FALSE,NA,"none",FALSE,0.80507755367019
"GSM3964081","M4-28, NOMO1.1uM.GSK862.d4.n2.n2",4.9372069988348,"GSE134716","GPL570",NA,"NOMO1",NA,FALSE,NA,"none",FALSE,0.850927500601625
"GSM3964082","M4-09, SHI1.0uM.DMSO.d4.n1.n1",4.4059312081204,"GSE134716","GPL570",NA,"SHI1",NA,FALSE,NA,"none",FALSE,0.3255551559371
"GSM3964083","M4-25, SHI1.0uM.DMSO.d4.n2.n2",4.4392219032904,"GSE134716","GPL570",NA,"SHI1",NA,FALSE,NA,"none",FALSE,0.358475930575554
"GSM3964084","M4-10, SHI1.1uM.GSK862.d4.n1.n1",4.6247916489254,"GSE134716","GPL570",NA,"SHI1",NA,FALSE,NA,"none",FALSE,0.541983656820639
"GSM3964085","M4-26, SHI1.1uM.GSK862.d4.n2.n2",4.691458774894,"GSE134716","GPL570",NA,"SHI1",NA,FALSE,NA,"none",FALSE,0.607909989046452
"GSM3965439","MV411.0µM.DMSO.d4.n1",3.612780707065,"GSE134742","GPL570","DMSO","MV411",NA,TRUE,"control","control",FALSE,-0.145589776022642
"GSM3965440","MV411.0µM.DMSO.d4.n2",3.672180964072,"GSE134742","GPL570","DMSO","MV411",NA,TRUE,"control","control",FALSE,-0.0599028252326026
"GSM3965441","MV411.0.4µM.DAC.d4.n1",3.641189541079,"GSE134742","GPL570","DAC","MV411",NA,FALSE,"DAC","high",FALSE,-0.104609038146825
"GSM3965442","MV411.0.4µM.DAC.d4.n2",3.593903665963,"GSE134742","GPL570","DAC","MV411",NA,FALSE,"DAC","high",FALSE,-0.172820568841905
"GSM3965443","MV411.1.0µM.GSK3484862.d4.n1",3.647781796753,"GSE134742","GPL570","GSK3484862","MV411",NA,FALSE,"GSK3484862","high",FALSE,-0.0950994784917751
"GSM3965444","MV411.1.0µM.GSK3484862.d4.n2",3.62722069723,"GSE134742","GPL570","GSK3484862","MV411",NA,FALSE,"GSK3484862","high",FALSE,-0.1247595845551
"GSM3965445","MV411.10µM.GSK3510477.d4.n1",3.567973571134,"GSE134742","GPL570","GSK3510477","MV411",NA,FALSE,"GSK3510477","high",FALSE,-0.210225638643737
"GSM3965446","MV411.10µM.GSK3510477.d4.n2",3.55538301286,"GSE134742","GPL570","GSK3510477","MV411",NA,FALSE,"GSK3510477","high",FALSE,-0.228387959845752
"GSM3965447","THP1.0µM.DMSO.d4.n1",2.791828699837,"GSE134742","GPL570","DMSO","THP1",NA,TRUE,"control","control",FALSE,-1.32984179425953
"GSM3965448","THP1.0µM.DMSO.d4.n2",2.91410101357,"GSE134742","GPL570","DMSO","THP1",NA,TRUE,"control","control",FALSE,-1.15345970001052
"GSM3965449","THP1.1.0µM.GSK3484862.d4.n1",2.8821071312152,"GSE134742","GPL570","GSK3484862","THP1",NA,FALSE,"GSK3484862","high",FALSE,-1.19961199565791
"GSM3965450","THP1.1.0µM.GSK3484862.d4.n2",2.917392757747,"GSE134742","GPL570","GSK3484862","THP1",NA,FALSE,"GSK3484862","high",FALSE,-1.14871124376605
"GSM3965451","NOMO1.0µM.DMSO.d4.n1",4.808972302911,"GSE134742","GPL570","DMSO","NOMO1",NA,TRUE,"control","control",FALSE,1.57995848880449
"GSM3965452","NOMO1.0µM.DMSO.d4.n2",4.821036578634,"GSE134742","GPL570","DMSO","NOMO1",NA,TRUE,"control","control",FALSE,1.59736162899751
"GSM3965453","NOMO1.1.0µM.GSK3484862.d4.n1",4.687243511001,"GSE134742","GPL570","GSK3484862","NOMO1",NA,FALSE,"GSK3484862","high",FALSE,1.40436044381802
"GSM3965454","NOMO1.1.0µM.GSK3484862.d4.n2",4.678216761699,"GSE134742","GPL570","GSK3484862","NOMO1",NA,FALSE,"GSK3484862","high",FALSE,1.39133904185433
"GSM4292642","MV4-11 control, replicate 1",2.9501660738662,"GSE144638","GPL23159","8 days vehicle (DMSO 0.01%)","MV4-11","MLL rearranged",TRUE,"control","control",FALSE,0.300090391766724
