"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM3573964",1.93892904810862,"GSE125437","NCBI-counts",6,6,"NOMO1.EPZ5676.96h_Rep3","cell line: NOMO-1 | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-AF",18237980,"EPZ-5676","NOMO-1",NA,FALSE,"EPZ-5676","high"
"GSM3573965",2.48118423633738,"GSE125437","NCBI-counts",6,6,"Jurkat.EPZ5676.96h_Rep1","cell line: Jurkat | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-WT",24690963,"EPZ-5676","Jurkat",NA,FALSE,"EPZ-5676","high"
"GSM3573966",2.35903731285614,"GSE125437","NCBI-counts",6,6,"Jurkat.EPZ5676.96h_Rep2","cell line: Jurkat | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-WT",15849500,"EPZ-5676","Jurkat",NA,FALSE,"EPZ-5676","high"
"GSM3573967",2.43816751621535,"GSE125437","NCBI-counts",6,6,"Jurkat.EPZ5676.96h_Rep3","cell line: Jurkat | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-WT",8593930,"EPZ-5676","Jurkat",NA,FALSE,"EPZ-5676","high"
"GSM3573968",1.96937694053597,"GSE125437","NCBI-counts",6,6,"MV411.DMSO.96h_Rep1","cell line: MV4-11 | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-AF",26873232,"DMSO","MV4-11",NA,TRUE,"control","control"
"GSM3573969",1.92744715374456,"GSE125437","NCBI-counts",6,6,"MV411.DMSO.96h_Rep2","cell line: MV4-11 | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-AF",26304778,"DMSO","MV4-11",NA,TRUE,"control","control"
"GSM3573970",1.97338099889444,"GSE125437","NCBI-counts",6,6,"MV411.DMSO.96h_Rep3","cell line: MV4-11 | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-AF",19968016,"DMSO","MV4-11",NA,TRUE,"control","control"
"GSM3573971",1.45658844919218,"GSE125437","NCBI-counts",6,6,"MOLM13.DMSO.96h_Rep1","cell line: MOLM-13 | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-AF",28665226,"DMSO","MOLM-13",NA,TRUE,"control","control"
"GSM3573972",1.46690168939221,"GSE125437","NCBI-counts",6,6,"MOLM13.DMSO.96h_Rep2","cell line: MOLM-13 | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-AF",26896844,"DMSO","MOLM-13",NA,TRUE,"control","control"
"GSM3573973",1.47683150492341,"GSE125437","NCBI-counts",6,6,"MOLM13.DMSO.96h_Rep3","cell line: MOLM-13 | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-AF",12681925,"DMSO","MOLM-13",NA,TRUE,"control","control"
"GSM3573974",2.1756360499361,"GSE125437","NCBI-counts",6,6,"NOMO1.DMSO.96h_Rep1","cell line: NOMO-1 | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-AF",16604332,"DMSO","NOMO-1",NA,TRUE,"control","control"
"GSM3573975",2.22189370086196,"GSE125437","NCBI-counts",6,6,"NOMO1.DMSO.96h_Rep2","cell line: NOMO-1 | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-AF",9007302,"DMSO","NOMO-1",NA,TRUE,"control","control"
"GSM3573976",2.15003371330894,"GSE125437","NCBI-counts",6,6,"NOMO1.DMSO.96h_Rep3","cell line: NOMO-1 | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-AF",15884643,"DMSO","NOMO-1",NA,TRUE,"control","control"
"GSM3573977",2.3742276721514,"GSE125437","NCBI-counts",6,6,"Jurkat.DMSO.96h_Rep1","cell line: Jurkat | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-WT",16118746,"DMSO","Jurkat",NA,TRUE,"control","control"
"GSM3573978",2.4498526525337,"GSE125437","NCBI-counts",6,6,"Jurkat.DMSO.96h_Rep2","cell line: Jurkat | agent: DMSO | concentration: 0.10 percent | time point (hours): 96 | mll fusion type: MLL-WT",20787992,"DMSO","Jurkat",NA,TRUE,"control","control"
