"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM8062104",0.935012423659811,"GSE255002","NCBI-counts",6,6,"Donor.D1173_Untransduced_CD4_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D1173 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",16377629,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062107",1.21558711178554,"GSE255002","NCBI-counts",6,6,"Donor.D732_DARIC33_CD8_media alone_Unstimulated_24h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D732 | treatment: media alone | stimulation: Unstimulated | time: 24h",13891904,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062108",1.08163488260654,"GSE255002","NCBI-counts",6,6,"Donor.D2172_DARIC33_CD8_1nM rapamycin_CD33+ MV4-11 AML target cells_168h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D2172 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 168h",12317423,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062109",0.84763339236903,"GSE255002","NCBI-counts",6,6,"Donor.D932_DARIC33_CD4_1nM rapamycin_CD33+ MV4-11 AML target cells_168h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D932 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 168h",14153543,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062110",1.01895069759425,"GSE255002","NCBI-counts",6,6,"Donor.D732_DARIC33_CD4_media alone_Unstimulated_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D732 | treatment: media alone | stimulation: Unstimulated | time: 24h",9580552,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062112",0.91289739316047,"GSE255002","NCBI-counts",6,6,"Donor.D2172_DARIC33_CD8_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D2172 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",9137416,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062113",0.913701197123056,"GSE255002","NCBI-counts",6,6,"Donor.D932_Untransduced_CD4_1nM rapamycin_Unstimulated_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D932 | treatment: 1nM rapamycin | stimulation: Unstimulated | time: 24h",16116419,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062114",0.361622463069321,"GSE255002","NCBI-counts",6,6,"Donor.D932_Untransduced_CD4_media alone_Unstimulated_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D932 | treatment: media alone | stimulation: Unstimulated | time: 24h",11149777,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062115",1.4946069144734,"GSE255002","NCBI-counts",6,6,"Donor.D2172_Untransduced_CD4_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D2172 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",15228227,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062117",1.32210866850554,"GSE255002","NCBI-counts",6,6,"Donor.D732_DARIC33_CD8_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D732 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",12035382,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062119",1.1985081563266,"GSE255002","NCBI-counts",6,6,"Donor.D732_Untransduced_CD8_media alone_Unstimulated_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D732 | treatment: media alone | stimulation: Unstimulated | time: 24h",17298934,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
