"GSE","Line","Agent","nT","nC","est","p","q"
"GSE155559","Human primary leukopheresis sample","Tamibarotene",4,4,1.06189813363938,0.167681107302919,0.25261769560707
"GSE135030","JVM2","Flud_50uM",3,3,1.07378476501587,5.018384589943e-05,0.000580698788264833
"GSE135030","MEC1","Flud_50uM",3,3,1.09191108811378,0.000400112100949018,0.00259272641414964
"GSE115328","GSE115328","CC122",12,6,1.10957107161921,0.0579169923762853,0.131237608086553
"GSE240439","HL-60","Decitabine",3,3,1.1994040193783,0.187620148912358,0.276313310216382
"GSE231960","RPMI-8402","Doxycycline",3,3,1.33508535698744,0.146398564745066,0.235542455450255
"GSE231959","T-ALL","Doxycycline",3,3,1.65899601740371,0.0370408428041264,0.0909184323374012
"GSE215385","NALM-6","Dexamethasone",6,3,1.67253348906414,0.000863111660459594,0.00466080296648181
"GSE219230","HL-60","CM-1758",3,3,1.97901632358777,0.000100181277991985,0.000963490815427896
"GSE219230","ML-2","CM-1758",3,2,2.18450611448228,0.23184794404921,0.329468131017299
"GSE215385","NALM-6","Dexamethasone, Idelalisib",6,3,2.39048439382379,2.12193955282742e-05,0.000286461839631702
