"GSE","Line","Agent","est","null_p","src","q"
"GSE54871","AML blasts","SAHA",-0.0111842403297933,0.709145427286357,"array",0.853663215785472
"GSE54873","blasts of AML patient","SAHA",-0.010979899975279,0.540729635182409,"array",0.742407174790983
"GSE125437","OCI-AML5","BAY-1251152",-0.0109456624502274,0.422788605697151,"counts",0.639216106232598
"GSE240439","HL-60","Simvastatin",-0.0106063429148952,0.508745627186407,"counts",0.725962861265996
"GSE97331","OCI-AML3","SY-1425",-0.00970997035934858,0.243878060969515,"array",0.46322361207456
"GSE230646","Kasumi-1","RBPMS knockdown",-0.00968660425759357,0.567716141929036,"counts",0.762962434126852
"GSE215385","NALM-6","Idelalisib",-0.00884755887550748,0.490254872563718,"counts",0.715659411673474
"GSE244855","MOLM13-RES","Gilteritinib+Metformin",-0.00833163948032589,0.748125937031484,"counts",0.874581058094806
"GSE29828","MV4-11","EPZ004777",-0.00805121412018517,0.247376311844078,"array",0.465433949691821
"GSE232007","MOLM13","CC-92840",-0.00784936188793087,0.593703148425787,"counts",0.782007959750695
"GSE65012","K562","CA",-0.00775901922085315,0.0449775112443778,"array",0.224005644236705
"GSE125437","MOLM-14","BAY-155",-0.00774529971474258,0.457271364317841,"counts",0.675272828701928
"GSE134742","GSE134742","GSK3484862",-0.0077005654238011,0.228385807096452,"array",0.446230730788452
"GSE121291","AML cell line  THP-1","JQ1",-0.00742224778064277,0.355822088955522,"array",0.579351349966043
"GSE230646","Kasumi-1","scramble shRNA control",-0.00693597517940728,0.67816091954023,"counts",0.836178997879701
"GSE155640","NfsB-positive THP1 cells","LSD1 OG86",-0.00687265840785407,0.348825587206397,"array",0.574080701584691
"GSE232007","MOLM13","CC-220",-0.00653286168937367,0.655172413793103,"counts",0.823524198491887
"GSE217572","OCI-AML-3","AZA",-0.00642229072916613,0.615692153923038,"counts",0.801772583096207
"GSE217572","THP-1","AZA",-0.00626529564949543,0.636181909045477,"counts",0.817394333136462
"GSE46302","MOLM-14","R406",-0.00612750854667399,0.769615192403798,"array",0.877322400746529
"GSE135030","EHEB","Idel_10uM",-0.00603082247855868,0.658170914542729,"counts",0.823524198491887
"GSE125437","KOPN-8","EPZ-5676",-0.00601043350717284,0.618690654672664,"counts",0.801772583096207
"GSE125437","KOPN-8","BAY-155",-0.00585704570705503,0.5912043978011,"counts",0.782007959750695
"GSE155640","NfsB-positive THP1 cells","NTR LSD1",-0.00580919955150819,0.405297351324338,"array",0.630812642459258
"GSE215385","NALM-6","Dexamethasone",-0.00543021043300534,0.67416291854073,"counts",0.836178997879701
"GSE215385","NALM-6","Dexamethasone, Idelalisib",-0.0054273873446596,0.694152923538231,"counts",0.842012327169748
"GSE125437","MOLM-13","OTX015",-0.00532269781850553,0.696151924037981,"counts",0.842012327169748
"GSE62533","GSE62533","BV6",-0.00506481036965917,0.0634682658670665,"array",0.261566186603668
"GSE267885","KG1a","venetoclax",-0.00491570258199664,0.775112443778111,"counts",0.877322400746529
"GSE125437","RS411","BAY-155",-0.00480285746728826,0.637181409295352,"counts",0.817394333136462
"GSE148010","TF1 erythroleukemia cell line","5-Aza daily x",-0.00437324111513604,0.528735632183908,"counts",0.735954427158006
"GSE226461","MOLM-14","QUIZ",-0.00410257199113956,0.773113443278361,"array",0.877322400746529
"GSE226418","MOLM-14","QUIZ",-0.00410205923373531,0.7976011994003,"array",0.884140538426439
"GSE148010","TF1 erythroleukemia cell line","pre-",-0.00403376474156236,0.653173413293353,"counts",0.823524198491887
"GSE123207","KG1a","AZA",-0.00398997172880994,0.501249375312344,"array",0.723393984825769
"GSE125437","EOL-1","BAY-155",-0.00393879638569411,0.714142928535732,"counts",0.85399084495311
"GSE125437","NOMO-1","BAY-1251152",-0.00301329392302005,0.800599700149925,"counts",0.884140538426439
"GSE55154","AML blasts","SAHA",-0.0028365213451144,0.930034982508746,"array",0.960280022590331
"GSE230791","Acute Lymphoblastic Leukemia cell line SEM","pinometostat",-0.00278674108327545,0.835082458770615,"counts",0.896589679843622
"GSE125437","OCI-AML5","Brequinar",-0.00255567914408975,0.779110444777611,"counts",0.877322400746529
"GSE155640","THP1 wild-type cells","LSD1 OG86",-0.00251046025104604,0.716141929035482,"array",0.85399084495311
"GSE29828","MOLM-13","EPZ004777",-0.00237638022083536,0.836581709145427,"array",0.896589679843622
"GSE155640","THP1 wild-type cells","NTR LSD1",-0.00234637788169662,0.613693153423288,"array",0.801772583096207
"GSE179333","REH","S3I-201",-0.00206344232336408,0.887056471764118,"counts",0.931042743091264
"GSE230588","T-ALL","ACBI-1",-0.00164480184742902,0.88255872063968,"counts",0.930165622582899
