"GSM","SampleTitle","Score","GSE","Platform","GenesFound","GenesExpected","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied"
"GSM4292642","MV4-11 control, replicate 1",2.9501660738662,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL rearranged",TRUE,"control","control",FALSE
"GSM4292643","MV4-11 treated, replicate 1",2.781434683432,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL rearranged",FALSE,"Pinometostat","high",FALSE
"GSM4292644","MV4-11 control, replicate 2",2.927905735436,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL rearranged",TRUE,"control","control",FALSE
"GSM4292645","MV4-11 treated, replicate 2",2.7736848001005,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL rearranged",FALSE,"Pinometostat","high",FALSE
"GSM4292646","MOLM-13 control, replicate 1",3.223408341285,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL rearranged",TRUE,"control","control",FALSE
"GSM4292647","MOLM-13 treated, replicate 1",3.0724562623133,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL rearranged",FALSE,"Pinometostat","high",FALSE
"GSM4292648","MOLM-13 control, replicate 2",3.2979344568368,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL rearranged",TRUE,"control","control",FALSE
"GSM4292649","MOLM-13 treated, replicate 2",3.1561677809128,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL rearranged",FALSE,"Pinometostat","high",FALSE
"GSM4292650","NOMO-1 control, replicate 1",3.6414061136018,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL rearranged",TRUE,"control","control",FALSE
"GSM4292651","NOMO-1 treated, replicate 1",2.4208220994067,"GSE144638","GPL23159",5,6,"8 days Pinometostat (1 uM)",NA,"MLL rearranged",FALSE,"Pinometostat","high",FALSE
"GSM4292652","NOMO-1 control, replicate 2",3.3650603741625,"GSE144638","GPL23159",5,6,"8 days vehicle (DMSO 0.01%)",NA,"MLL rearranged",TRUE,"control","control",FALSE
